"W1","W2","W3","W4","W5","Y"
0,1,1.31547967204824,0.303237887658352,1,117.380323121518
0,1,4.01859808363952,0.630845200622011,3,122.846225328539
1,1,0.164628413040191,0.637462016919904,1,117.854685049902
0,1,3.17642246722244,0.270929023841484,2,124.972310550021
0,0,2.83014327869751,0.335881294284116,3,96.7866174224984
0,1,2.56805665441789,0.56956964314526,1,114.351691600038
0,0,3.64093247451819,0.319247462682832,3,98.7041636072618
0,1,3.82703442242928,0.68330945848774,2,117.299910105567
0,1,2.65239154454321,0.35188599492223,3,126.272386925369
0,0,4.06244786339812,0.477684130337903,2,97.5343104716037
0,0,2.20816067187116,0.234655528816022,2,98.6629235892849
0,1,3.09493597713299,0.294190867747676,2,124.455353351043
0,1,0.232136368285865,0.387348430923007,1,113.620720324029
0,1,2.85295125329867,0.648898152601937,2,116.357786651898
0,0,4.18793274206109,0.367829950350618,1,102.068510420198
0,1,0.838693525874987,0.455904049606924,2,116.705249504941
0,1,2.99665051396005,0.277736017241932,1,121.407949885206
0,1,2.98071206663735,0.355217017454082,1,119.94544878484
0,0,3.191025799606,0.146126672871002,1,104.050586092104
0,0,0.557142541510984,0.139253876296261,1,98.8623009476036
0,1,1.22562334872782,0.700739591793465,1,108.523738850745
0,0,1.32967892102897,0.198979377099216,2,97.6788633021206
0,0,0.996131795691326,0.213336263304526,4,96.1286856344244
0,1,2.88002236513421,0.67183323776231,1,112.540305479992
0,1,2.07170752924867,0.400452761399083,1,117.17441564406
0,0,0.077799167484045,0.214049666761214,3,93.5191039526781
0,1,0.710582751780748,0.660252383982898,2,111.609893285314
0,1,3.65648665232584,0.632552280823649,2,118.171238202279
0,1,4.73214581725188,0.594001667134513,2,121.207584194899
0,1,2.9219484096393,0.570952270266755,2,118.148092868169
0,0,4.62080986821093,0.294755648743728,1,104.341539932112
0,0,3.57530113658868,0.119917335923917,1,105.141529903167
0,0,3.18416512222029,0.262288400430863,2,100.11189079568
0,0,2.76349416002631,0.216217716941103,2,100.147719373441
0,1,2.25896843126975,0.705331327860583,3,117.468360015706
1,0,0.596546420129016,0.621645330646936,3,96.138538594987
0,1,0.431767508853227,0.43846298898858,2,116.09168978055
0,1,3.30618367996067,0.665620530021691,2,116.872511132615
0,1,4.06052769976668,0.39590668726145,3,128.018027504074
0,0,3.14321857178584,0.131129394641589,3,101.192157141385
0,1,0.525250058853999,0.290710080830713,2,119.400899476498
0,0,2.10375825758092,0.304439402082215,1,98.9198462012427
1,1,2.03471339307725,0.598023202028928,2,125.636461700866
0,1,3.95816813339479,0.566765687329424,2,120.263175110323
0,0,4.36104542808607,0.15316507945013,1,106.343103906074
0,0,4.75631866138428,0.249627443564886,3,102.221140912718
0,0,2.78548723435961,0.132478259856506,2,101.569908213012
0,0,0.384735591942444,0.157110784146924,1,98.1219916360211
0,1,4.64334057993256,0.503039634825662,2,123.168164731313
0,0,3.80986369564198,0.231172201795133,2,101.93045830432
0,0,3.72229054337367,0.235126455398523,1,103.592541251948
0,1,2.97272822121158,0.50487368868796,2,119.758667154433
0,0,2.86177006666549,0.210863758706982,2,100.37623846208
